year_month,trades,win_rate,mean_pnl,total_pnl,max_dd,sharpe,sharpe_active,sharpe_trade,variant,strategy_type
2018-08,100,28.000000000000004,-65.24300000000001,-6524.300000000001,-6327.799999999999,-11.983442354338017,-13.850844661488452,-17.95298526297212,loss_streak_3_14d,MOM
2018-09,130,36.92307692307693,-27.284,-3546.92,-5235.93,-4.060537358456333,-4.288129629494055,-6.736823313132229,loss_streak_3_14d,MOM
2018-10,147,54.421768707483,33.041564625850334,4857.109999999999,-2047.19,3.9888413824346958,4.369041908189829,8.326898289483884,loss_streak_3_14d,MOM
2018-11,125,50.4,32.41383999999999,4051.7299999999996,-1617.0999999999995,5.039317873869625,5.442538683009137,5.718232135539714,loss_streak_3_14d,MOM
2018-12,134,58.2089552238806,64.10641791044776,8590.26,-3892.63,3.982692206854695,4.452048019728081,11.32223019464851,loss_streak_3_14d,MOM
2019-01,114,50.877192982456144,13.644298245614031,1555.4499999999996,-3114.0,1.5536348101123856,1.665709005000066,2.5816931393533773,loss_streak_3_14d,MOM
2019-02,101,57.42574257425742,22.590693069306937,2281.6600000000008,-1625.6599999999994,2.9772421631899424,3.2156381408372043,5.886975278470464,loss_streak_3_14d,MOM
2019-03,145,40.689655172413794,-28.128206896551724,-4078.59,-5675.760000000001,-4.158180280924517,-4.557032522212486,-8.079026729069755,loss_streak_3_14d,MOM
2019-04,103,53.398058252427184,9.215339805825245,949.1800000000002,-1640.8099999999997,1.918713865163728,2.063104094806388,3.3756232759995743,loss_streak_3_14d,MOM
2019-05,181,70.71823204419888,86.43,15643.830000000002,-960.4500000000007,10.777522815197248,11.620318775987418,20.640078554924372,loss_streak_3_14d,MOM
2019-06,142,54.22535211267606,40.59302816901408,5764.21,-3028.7300000000005,4.494697786668839,4.660545480752202,8.996683661586657,loss_streak_3_14d,MOM
2019-07,111,47.74774774774775,-7.017747747747747,-778.9699999999999,-3287.7599999999998,-1.1593054114302987,-1.177922094158865,-2.0227653738231735,loss_streak_3_14d,MOM
2019-08,148,60.810810810810814,54.74135135135136,8101.720000000001,-1449.369999999998,7.292496946592152,8.109176687468128,13.392586147078669,loss_streak_3_14d,MOM
2019-09,182,65.93406593406593,58.07868131868132,10570.32,-1337.1599999999999,7.547723153717348,8.045965459679092,14.208835612208444,loss_streak_3_14d,MOM
2019-10,126,39.682539682539684,-13.698095238095236,-1725.9599999999998,-3766.67,-2.21279048465847,-2.4131153370439917,-3.2126799336985212,loss_streak_3_14d,MOM
2019-11,122,37.704918032786885,-32.17032786885247,-3924.7800000000007,-4490.500000000002,-6.378260545637841,-6.922663855426235,-10.113240743310978,loss_streak_3_14d,MOM
2019-12,131,70.22900763358778,78.41839694656488,10272.81,-942.1200000000001,6.950273462277129,8.14564009822307,18.240256125242524,loss_streak_3_14d,MOM
2020-01,135,55.55555555555556,51.616370370370376,6968.210000000001,-2388.699999999999,5.7704173695047105,6.231156604929417,10.997101543342092,loss_streak_3_14d,MOM
2020-02,159,51.57232704402516,8.379937106918229,1332.4099999999985,-4470.039999999999,1.0746427045456453,1.1124547290093039,2.120770969471807,loss_streak_3_14d,MOM
2020-03,198,65.15151515151516,160.48595959595963,31776.22000000001,-3035.870000000001,9.338811700833709,9.551957123758436,14.947551371020195,loss_streak_3_14d,MOM
2020-04,98,52.04081632653062,-22.39561224489797,-2194.770000000001,-3598.8,-2.4371326291965736,-2.732555075840583,-3.958873457237339,loss_streak_3_14d,MOM
2020-05,93,53.76344086021505,103.08688172043011,9587.08,-3052.3199999999997,3.1639100649870238,3.5264735194562293,8.484175579236549,loss_streak_3_14d,MOM
2020-06,166,56.62650602409639,38.07969879518072,6321.23,-4525.540000000002,3.697606688732057,3.978531349366754,6.18067314521944,loss_streak_3_14d,MOM
2020-07,138,52.17391304347826,169.63065217391303,23409.03,-1318.8600000000006,5.491206320560199,6.182665745055159,12.417095207742426,loss_streak_3_14d,MOM
2020-08,127,61.417322834645674,77.90118110236222,9893.45,-2665.9699999999993,5.890700728385805,6.234876475100401,11.845394945765241,loss_streak_3_14d,MOM
2020-09,157,57.324840764331206,33.46050955414013,5253.3,-3315.129999999999,3.783966552452623,3.9940663796148006,6.181557300845655,loss_streak_3_14d,MOM
2020-10,111,37.83783783783784,-61.25891891891891,-6799.739999999999,-6759.0,-7.0443989296068095,-7.821852918972031,-13.394439800521823,loss_streak_3_14d,MOM
2020-11,112,57.14285714285714,82.48187500000002,9237.970000000001,-1545.1599999999999,7.493348584751382,7.822795105197696,10.546095315296883,loss_streak_3_14d,MOM
2020-12,115,59.130434782608695,26.598782608695657,3058.8600000000006,-760.3800000000001,3.8898395726184107,4.176965282005621,6.190445128011062,loss_streak_3_14d,MOM
2021-01,114,50.877192982456144,40.6242105263158,4631.160000000001,-1258.499999999999,5.123141699777296,5.63476188751886,8.493055181666701,loss_streak_3_14d,MOM
2021-02,109,52.293577981651374,33.787247706422015,3682.81,-1966.8999999999999,4.3341442930436225,4.697297706261693,7.011660674555982,loss_streak_3_14d,MOM
2021-03,145,69.6551724137931,121.1288275862069,17563.68,-2009.0099999999984,11.432696740395922,12.031210373220915,14.999268014072024,loss_streak_3_14d,MOM
2021-04,119,50.42016806722689,52.01537815126051,6189.83,-1799.5499999999988,4.16352569181936,4.577852820104851,7.621981068246596,loss_streak_3_14d,MOM
