pair,trades,win_rate,mean_pnl,total_pnl,max_dd,sharpe,sharpe_active,sharpe_trade,variant
EUR/GBP,1200,54.75,16.349283333333332,19619.14,-1519.3000000000084,0.6559553075911835,1.7838597757973156,5.440442274084787,loss_streak_3_14d
EUR/JPY,1213,54.57543281121187,19.667262984336357,23856.39,-3614.9000000000015,1.1332488733389747,3.2873379585999944,7.195613275874116,loss_streak_3_14d
GBP/AUD,1349,57.375833951074874,21.863068939955525,29493.280000000002,-1665.7800000000043,1.1467996274522787,3.2034905311752935,8.159671036143688,loss_streak_3_14d
GBP/CAD,1213,51.69002473206925,8.717386644682605,10574.19,-1791.1100000000042,0.7855434270997824,2.231024286220652,5.076268068572355,loss_streak_3_14d
GBP/JPY,1341,57.34526472781506,17.691991051454142,23724.960000000003,-2207.290000000001,1.128002286228471,3.246814068359517,7.873582930201622,loss_streak_3_14d
Gold/Oil,1157,53.93258426966292,25.38504753673293,29370.5,-2559.670000000002,0.9762638907499177,2.6985968593913574,6.067472289062815,loss_streak_3_14d
Gold/Silver,1454,64.78679504814305,40.33303988995873,58644.23999999999,-3110.919999999991,1.0428451978410838,2.6279488578918793,7.726620475370023,loss_streak_3_14d
NZD/CAD,1380,58.69565217391305,14.566079710144926,20101.19,-1350.0300000000016,1.3171589662415317,3.592132585033993,8.593563970313884,loss_streak_3_14d
Oil/Silver,1094,53.29067641681902,51.78201096892139,56649.520000000004,-4505.5,0.9044139655128153,2.5324220022781816,5.840526754036992,loss_streak_3_14d
SPX/CAC,1069,60.61739943872778,50.548400374181476,54036.24,-5209.96000000001,1.4658205840894984,3.704388373576581,6.379756353574736,loss_streak_3_14d
SPX/DAX,1145,61.22270742358079,56.88934497816594,65138.299999999996,-2541.3499999999985,1.5763490148108863,4.244768164531971,8.481711887863115,loss_streak_3_14d
SPX/Dow,1205,55.35269709543569,14.875917012448133,17925.48,-1543.139999999994,1.0310653646652554,2.9125050413013187,6.078006209346299,loss_streak_3_14d
SPX/FTSE,1162,54.64716006884681,37.76587779690189,43883.95,-3098.9900000000016,1.4816776587741434,4.0000523988714,7.94322669214773,loss_streak_3_14d
SPX/HK,1059,64.11709159584514,74.64307837582624,79047.01999999999,-3341.779999999995,1.741310355278083,4.463729727265027,8.243789076492616,loss_streak_3_14d
SPX/Nas,1318,62.13960546282246,25.290318664643397,33332.64,-6837.019999999999,0.9415007033983408,2.431743118703283,5.123223848562896,loss_streak_3_14d
SPX/Nikkei,1248,60.09615384615385,33.81070512820512,42195.759999999995,-3229.0800000000236,1.1221977635038198,3.08722057911487,6.56700497100169,loss_streak_3_14d
