pair,trades,win_rate,mean_pnl,total_pnl,max_dd,sharpe,sharpe_active,sharpe_trade,variant,strategy_type
GBP/JPY,645,52.4031007751938,41.92617054263566,27042.38,-3241.240000000007,0.943948408664743,3.066846742354414,6.114751256654347,loss_streak_3_14d,MOM
Gold/Oil,544,52.02205882352941,52.21481617647059,28404.86,-4926.649999999994,1.031389118156683,3.187748396805332,4.83956382664695,loss_streak_3_14d,MOM
Gold/Silver,578,62.11072664359861,76.22640138408305,44058.86,-4909.1399999999885,1.307448083522225,4.157584045121427,6.451566726019615,loss_streak_3_14d,MOM
NZD/CAD,698,60.60171919770774,41.17040114613181,28736.940000000002,-1692.3400000000029,1.6172386257197233,5.057573617620013,9.554867853257635,loss_streak_3_14d,MOM
Oil/Silver,523,48.75717017208413,63.569560229445514,33246.880000000005,-12200.629999999997,0.6066741535797249,1.9278153032340273,3.2910152982945577,loss_streak_3_14d,MOM
SPX/CAC,381,59.580052493438316,149.31440944881888,56888.78999999999,-3829.74,1.643238629165562,5.149388108789414,6.299619180296458,loss_streak_3_14d,MOM
SPX/DAX,466,60.94420600858369,287.6244635193133,134033.0,-4733.139999999999,1.1323151238680074,3.4148580405704525,3.559797383307431,loss_streak_3_14d,MOM
SPX/Dow,558,54.48028673835126,15.999014336917565,8927.45,-4402.83,0.5672877822593998,1.6991928389849762,2.4862853776630764,loss_streak_3_14d,MOM
SPX/FTSE,494,46.76113360323887,14.488805668016196,7157.470000000001,-7577.850000000005,0.3210916236226042,1.009009155584655,1.4227254358688215,loss_streak_3_14d,MOM
SPX/HK,388,51.03092783505154,67.22567010309278,26083.559999999998,-6912.560000000004,0.7450412296878545,2.2543200544415476,2.6810920491426633,loss_streak_3_14d,MOM
SPX/Nas,566,64.48763250883393,83.82577738515901,47445.39,-5368.610000000001,1.1583484626312472,3.739242759789376,6.594953575204788,loss_streak_3_14d,MOM
SPX/Nikkei,561,59.180035650623886,75.11294117647058,42138.36,-5335.219999999999,1.169142514697883,3.772430178799836,6.2524351074184645,loss_streak_3_14d,MOM
AUD/CAD,226,53.09734513274337,-3.4435398230088503,-778.2400000000001,-2103.3000000000006,-0.1096579059740525,-0.4733537098734415,-0.6969731480170355,baseline,REV
AUD/NZD,218,40.825688073394495,-17.789770642201834,-3878.17,-5204.519999999999,-0.395104358003538,-1.7578733983862074,-2.5825586406436796,baseline,REV
CAC/NZD,124,43.54838709677419,-65.48,-8119.520000000001,-12427.33,-0.4962883302099598,-2.51218628920521,-2.7135032939333223,baseline,REV
CHF/JPY,207,52.65700483091788,-0.06086956521739183,-12.600000000000108,-2169.34,-0.0011683475142694256,-0.004983184236600896,-0.006814921451861187,baseline,REV
EUR/AUD,238,47.05882352941176,-23.760924369747897,-5655.099999999999,-9716.289999999997,-0.40864236893525124,-1.7196878591273048,-2.371610605734867,baseline,REV
EUR/CHF,236,47.88135593220339,-10.773177966101692,-2542.4699999999993,-2815.7899999999995,-0.2416707258601037,-1.0121953339505019,-1.6541981296773607,baseline,REV
EUR/GBP,215,47.44186046511628,-0.8466046511627885,-182.01999999999953,-2216.7599999999998,-0.020265813407178774,-0.088212730734551,-0.12230813751815219,baseline,REV
EUR/JPY,207,54.589371980676326,-0.19714975845410643,-40.81000000000003,-3347.13,-0.0042994956123682425,-0.018671015352005518,-0.023908753061690893,baseline,REV
GBP/AUD,211,47.39336492890995,-10.377914691943127,-2189.74,-5206.160000000002,-0.22098789146050543,-1.0146492274361936,-1.4687002799360067,baseline,REV
GBP/CAD,225,54.22222222222223,1.9776888888888886,444.97999999999996,-1770.0200000000002,0.06746846521100935,0.2991409888283911,0.4054917249605863,baseline,REV
GBP/JPY,227,46.25550660792951,-29.016651982378853,-6586.78,-7640.799999999998,-0.5319186627126578,-2.200539391031863,-3.1223821948826056,baseline,REV
Gold/Oil,201,52.736318407960205,8.800895522388059,1768.9799999999998,-3265.4999999999995,0.13064795765210493,0.5737876227695154,0.7667480441940964,baseline,REV
Gold/Silver,220,43.18181818181818,-28.388090909090906,-6245.379999999999,-9784.849999999999,-0.39194166838437033,-1.6466271159032229,-2.02966798295678,baseline,REV
NZD/CAD,226,46.902654867256636,-5.6005752212389375,-1265.7299999999998,-2568.4700000000003,-0.18763613942862026,-0.8085321257362538,-1.111505765782499,baseline,REV
Oil/Silver,185,48.64864864864865,-38.484,-7119.540000000001,-14118.360000000004,-0.2857317873844126,-1.2845219544854074,-1.6305002222863128,baseline,REV
SPX/CAC,119,41.17647058823529,-101.08100840336131,-12028.639999999996,-12637.589999999998,-0.8002644179678287,-4.188072320245613,-4.432848614065253,baseline,REV
SPX/DAX,138,44.20289855072464,-68.92565217391304,-9511.74,-12250.13,-0.6638629838816467,-3.363692344872126,-3.5853535851166747,baseline,REV
SPX/Dow,185,48.64864864864865,19.430648648648646,3594.669999999999,-2825.7300000000005,0.43845981400620215,1.9853566320417777,2.6957874765699894,baseline,REV
SPX/FTSE,202,57.42574257425742,32.977376237623766,6661.43,-3579.2799999999984,0.5237008868541254,2.201667342855019,2.3593433031609035,baseline,REV
SPX/HK,120,45.0,-60.18108333333334,-7221.7300000000005,-9631.660000000002,-0.44002618573753555,-2.222042092572325,-2.36346703019583,baseline,REV
SPX/Nas,193,47.66839378238342,-16.932331606217613,-3267.939999999999,-9942.07,-0.17416115498892504,-0.7889753915131322,-1.0981452167234362,baseline,REV
SPX/Nikkei,218,47.706422018348626,1.930229357798165,420.78999999999996,-5077.009999999999,0.023891270387732883,0.10264359138981573,0.13637776727875786,baseline,REV
AUD/CAD,192,56.25,3.8681770833333338,742.69,-1630.0899999999997,0.13313153065184716,0.6054870871896172,0.783092332943346,loss_streak_3_14d,REV
AUD/NZD,178,43.82022471910113,-12.670056179775282,-2255.27,-4175.179999999999,-0.26760531294828627,-1.3119828928927553,-1.776130239842607,loss_streak_3_14d,REV
CAC/NZD,109,46.788990825688074,-25.776422018348622,-2809.6299999999997,-7233.27,-0.19367115328834256,-1.0445245342533698,-1.1544573497433268,loss_streak_3_14d,REV
CHF/JPY,187,52.94117647058824,3.7458823529411767,700.48,-2029.4700000000003,0.06941416065046171,0.30820571988988876,0.4147275298732171,loss_streak_3_14d,REV
EUR/AUD,188,51.59574468085106,-5.194734042553191,-976.6099999999998,-4983.68,-0.0929563023944258,-0.4199061156424048,-0.5195184899240922,loss_streak_3_14d,REV
