pair,trades,win_rate,mean_pnl,total_pnl,max_dd,sharpe,sharpe_active,sharpe_trade,variant,strategy_type
AUD/NZD,1225,54.93877551020409,2.8801795918367343,3528.22,-2115.0199999999986,0.45109646433305023,1.02596987216322,1.5366596551220484,loss_streak_3_14d,REV
CAC/NZD,930,55.16129032258065,6.209559139784946,5774.889999999999,-2438.100000000004,0.5067914665237474,1.2385592135013679,1.69624711179004,loss_streak_3_14d,REV
CHF/JPY,1259,53.13741064336776,2.2581493248610007,2843.0099999999998,-977.2400000000005,0.50350708050556,1.0986428984802745,1.5584686751748442,loss_streak_3_14d,REV
EUR/AUD,1230,52.19512195121951,1.7140731707317076,2108.3100000000004,-1716.2399999999996,0.3136860790910698,0.6904279511509123,0.9466062879971788,loss_streak_3_14d,REV
EUR/CHF,1302,52.38095238095239,2.189930875576037,2851.29,-1067.4600000000023,0.6435392130701795,1.386068833578073,1.8434274327375,loss_streak_3_14d,REV
EUR/GBP,1327,51.39412207987942,2.768425018839487,3673.6999999999994,-946.5499999999995,0.665175219356824,1.427290218485085,1.9879775976406264,loss_streak_3_14d,REV
EUR/JPY,1214,50.90609555189456,0.1414250411861614,171.68999999999994,-2629.04,0.028344873385401485,0.0628320463006248,0.08780322474566851,loss_streak_3_14d,REV
GBP/AUD,1165,52.7038626609442,0.7689613733905583,895.8400000000004,-2611.2300000000005,0.12241905540223016,0.28054442220233744,0.41026820711150275,loss_streak_3_14d,REV
GBP/CAD,1231,51.2591389114541,1.2750365556458165,1569.5700000000002,-910.5699999999999,0.3243499793886755,0.7231438694734467,1.0134503109490303,loss_streak_3_14d,REV
GBP/JPY,1146,50.08726003490401,-0.38773123909249546,-444.3399999999998,-2150.7400000000002,-0.07497223372557385,-0.17238269716642404,-0.2421612357352843,loss_streak_3_14d,REV
Gold/Oil,1146,50.6108202443281,-1.4350261780104712,-1644.54,-4294.519999999999,-0.17046264072813047,-0.37399664529423127,-0.49823497466625993,loss_streak_3_14d,REV
Gold/Silver,1205,50.954356846473026,4.863410788381742,5860.409999999999,-2499.7000000000016,0.45892082800331163,1.0365112229018916,1.5366179366129173,loss_streak_3_14d,REV
NZD/CAD,1217,50.123253903040265,0.9862695152013147,1200.29,-1273.8999999999996,0.24950590770648398,0.5547672759683558,0.8038903823784734,loss_streak_3_14d,REV
Oil/Silver,1098,49.18032786885246,5.2180418943533695,5729.41,-4440.389999999991,0.31138581731733117,0.7000870977725823,0.9765043189187103,loss_streak_3_14d,REV
SPX/CAC,872,51.49082568807339,11.903004587155964,10379.42,-1773.29,0.7971327271278603,1.9463504345248706,2.6221357843670208,loss_streak_3_14d,REV
SPX/DAX,892,49.55156950672646,5.146558295964125,4590.73,-2895.469999999996,0.29268999377287097,0.7250964330010825,1.0295588679504106,loss_streak_3_14d,REV
SPX/Dow,1103,51.31459655485041,-49.062656391659104,-54116.10999999999,-56140.00999999998,-0.28804530814473145,-0.6533343738094459,-0.6539782260118275,loss_streak_3_14d,REV
SPX/FTSE,1205,54.68879668049793,6.906547717842325,8322.390000000001,-2371.989999999999,0.721044684237249,1.570477639107801,2.150402211859194,loss_streak_3_14d,REV
SPX/HK,864,49.53703703703704,3.8485763888888878,3325.169999999999,-3909.7999999999997,0.23042890927269252,0.5367511786224772,0.7134212515667235,loss_streak_3_14d,REV
SPX/Nas,1242,50.72463768115942,0.3243156199677937,402.7999999999997,-5431.2800000000025,0.030465242993122282,0.06385443574358177,0.0860280400829087,loss_streak_3_14d,REV
SPX/Nikkei,970,43.91752577319588,4.07120618556701,3949.0699999999997,-2305.4300000000003,0.3050196182567344,0.7254278990201948,1.0142946462999902,loss_streak_3_14d,REV
